1,6,91,50,10,55,0,0,0	6,91,50,10,55	6,91,50,10,55
1,1,1,1,32,28,49,29,26,0,0,0	32,28,49,29,26	32,28,49,29,26
1,1,1,73,17,11,57,55,0,0	73,17,11,57,55	73,17,11,57,55
1,1,1,63,52,5,96,25,0,0,0,0	63,52,5,96,25	63,52,5,96,25
1,1,1,40,93,51,91,27,0,0,0	40,93,51,91,27	40,93,51,91,27
1,1,21,98,50,70,49,0,0,0	21,98,50,70,49	21,98,50,70,49
1,1,1,1,69,79,86,32,43,0,0,0	69,79,86,32,43	69,79,86,32,43
1,1,1,1,86,29,84,9,84,0,0	86,29,84,9,84	86,29,84,9,84
1,1,67,57,63,80,94,0,0,0,0	67,57,63,80,94	67,57,63,80,94
1,1,1,1,18,61,46,8,60,0,0,0	18,61,46,8,60	18,61,46,8,60
1,1,57,30,85,68,18,0	57,30,85,68,18	57,30,85,68,18
1,1,1,77,49,52,75,68,0,0,0	77,49,52,75,68	77,49,52,75,68
1,1,1,88,8,58,52,93,0	88,8,58,52,93	88,8,58,52,93
1,1,51,20,17,20,63,0,0,0,0	51,20,17,20,63	51,20,17,20,63
1,36,45,85,95,67,0	36,45,85,95,67	36,45,85,95,67
1,1,1,17,49,35,73,63,0,0	17,49,35,73,63	17,49,35,73,63
1,1,1,99,74,98,9,46,0,0	99,74,98,9,46	99,74,98,9,46
1,1,14,61,53,73,28,0,0	14,61,53,73,28	14,61,53,73,28
1,1,49,33,79,87,72,0,0	49,33,79,87,72	49,33,79,87,72
1,1,1,1,70,76,5,43,59,0	70,76,5,43,59	70,76,5,43,59
1,88,70,41,26,25,0	88,70,41,26,25	88,70,41,26,25
1,1,1,1,4,10,64,56,7,0,0	4,10,64,56,7	4,10,64,56,7
1,85,10,35,70,85,0,0	85,10,35,70,85	85,10,35,70,85
1,71,31,37,3,4,0,0,0	71,31,37,3,4	71,31,37,3,4
1,1,1,1,72,63,89,10,66,0,0	72,63,89,10,66	72,63,89,10,66
1,1,83,49,43,22,51,0,0,0,0	83,49,43,22,51	83,49,43,22,51
1,21,17,32,92,5,0,0,0,0	21,17,32,92,5	21,17,32,92,5
1,1,1,73,90,8,28,60,0,0,0	73,90,8,28,60	73,90,8,28,60
1,1,82,22,62,82,87,0,0,0	82,22,62,82,87	82,22,62,82,87
1,1,5,12,48,75,37,0	5,12,48,75,37	5,12,48,75,37
1,3,7,75,73,15,0	3,7,75,73,15	3,7,75,73,15
1,1,66,73,25,85,49,0,0	66,73,25,85,49	66,73,25,85,49
1,1,1,67,54,98,6,5,0	67,54,98,6,5	67,54,98,6,5
1,1,14,4,44,27,96,0,0	14,4,44,27,96	14,4,44,27,96
1,27,4,86,73,14,0	27,4,86,73,14	27,4,86,73,14
1,1,1,1,41,67,16,14,18,0,0	41,67,16,14,18	41,67,16,14,18
1,1,1,1,96,75,6,62,22,0,0,0,0	96,75,6,62,22	96,75,6,62,22
1,1,97,68,17,42,90,0,0	97,68,17,42,90	97,68,17,42,90
1,78,40,61,6,72,0,0,0	78,40,61,6,72	78,40,61,6,72
1,1,1,48,23,19,72,25,0,0,0,0	48,23,19,72,25	48,23,19,72,25
1,1,1,29,45,4,28,20,0,0,0,0	29,45,4,28,20	29,45,4,28,20
1,1,1,46,59,88,72,48,0	46,59,88,72,48	46,59,88,72,48
1,16,52,89,10,14,0,0,0,0	16,52,89,10,14	16,52,89,10,14
1,1,1,9,26,52,83,67,0,0,0,0	9,26,52,83,67	9,26,52,83,67
1,1,60,88,69,50,4,0,0,0,0	60,88,69,50,4	60,88,69,50,4
1,39,18,33,68,74,0,0,0,0	39,18,33,68,74	39,18,33,68,74
1,1,91,53,13,30,92,0,0,0	91,53,13,30,92	91,53,13,30,92
1,1,1,15,20,62,68,28,0,0,0	15,20,62,68,28	15,20,62,68,28
1,1,57,80,72,38,58,0,0,0,0	57,80,72,38,58	57,80,72,38,58
1,1,1,1,96,37,69,10,68,0	96,37,69,10,68	96,37,69,10,68
1,67,55,25,81,75,0,0,0,0	67,55,25,81,75	67,55,25,81,75
1,1,1,47,27,52,3,33,0,0,0,0	47,27,52,3,33	47,27,52,3,33
1,67,61,76,51,69,0	67,61,76,51,69	67,61,76,51,69
1,1,18,61,79,54,36,0,0,0	18,61,79,54,36	18,61,79,54,36
1,1,1,1,16,80,23,98,96,0,0,0	16,80,23,98,96	16,80,23,98,96
1,1,1,1,10,42,61,48,71,0,0	10,42,61,48,71	10,42,61,48,71
1,1,1,12,87,39,99,16,0,0	12,87,39,99,16	12,87,39,99,16
1,1,1,1,35,16,87,35,72,0,0	35,16,87,35,72	35,16,87,35,72
1,1,1,58,52,44,15,40,0,0,0	58,52,44,15,40	58,52,44,15,40
1,1,88,85,42,59,7,0,0,0,0	88,85,42,59,7	88,85,42,59,7
1,1,79,17,31,94,75,0,0	79,17,31,94,75	79,17,31,94,75
1,1,1,10,78,38,43,57,0,0,0,0	10,78,38,43,57	10,78,38,43,57
1,1,71,53,87,10,51,0,0,0,0	71,53,87,10,51	71,53,87,10,51
1,1,1,56,48,55,73,48,0	56,48,55,73,48	56,48,55,73,48
1,1,1,1,49,60,55,29,9,0,0,0,0	49,60,55,29,9	49,60,55,29,9
1,1,76,29,21,69,24,0,0,0	76,29,21,69,24	76,29,21,69,24
1,1,1,33,7,17,93,19,0,0,0,0	33,7,17,93,19	33,7,17,93,19
1,12,52,66,67,88,0,0,0,0	12,52,66,67,88	12,52,66,67,88
1,34,42,57,40,84,0,0,0	34,42,57,40,84	34,42,57,40,84
1,1,1,72,22,62,27,98,0,0	72,22,62,27,98	72,22,62,27,98
1,1,1,1,58,5,57,10,89,0,0	58,5,57,10,89	58,5,57,10,89
1,1,1,1,18,79,88,34,72,0,0,0,0	18,79,88,34,72	18,79,88,34,72
1,72,26,7,58,27,0,0	72,26,7,58,27	72,26,7,58,27
1,1,1,27,59,82,78,84,0	27,59,82,78,84	27,59,82,78,84
1,84,17,12,24,20,0,0,0,0	84,17,12,24,20	84,17,12,24,20
1,1,47,80,15,73,54,0,0	47,80,15,73,54	47,80,15,73,54
1,1,45,30,48,63,78,0,0	45,30,48,63,78	45,30,48,63,78
1,28,28,70,48,89,0,0,0,0	28,28,70,48,89	28,28,70,48,89
1,1,1,1,22,10,17,92,27,0	22,10,17,92,27	22,10,17,92,27
1,1,29,8,55,79,67,0,0,0	29,8,55,79,67	29,8,55,79,67
1,1,1,35,97,7,93,91,0,0,0	35,97,7,93,91	35,97,7,93,91
1,1,84,8,98,39,74,0,0,0,0	84,8,98,39,74	84,8,98,39,74
1,1,1,1,83,11,17,53,47,0	83,11,17,53,47	83,11,17,53,47
1,1,1,99,55,20,50,94,0,0	99,55,20,50,94	99,55,20,50,94
1,1,79,7,92,91,24,0,0,0,0	79,7,92,91,24	79,7,92,91,24
1,1,1,1,13,26,16,72,86,0,0,0,0	13,26,16,72,86	13,26,16,72,86
1,37,94,58,8,46,0	37,94,58,8,46	37,94,58,8,46
1,1,74,86,74,46,25,0,0,0,0	74,86,74,46,25	74,86,74,46,25
1,1,1,1,87,11,53,64,36,0,0	87,11,53,64,36	87,11,53,64,36
1,1,92,47,66,43,69,0	92,47,66,43,69	92,47,66,43,69
1,1,82,74,34,47,45,0	82,74,34,47,45	82,74,34,47,45
1,1,1,1,8,68,29,23,42,0,0	8,68,29,23,42	8,68,29,23,42
1,1,68,84,30,69,44,0,0	68,84,30,69,44	68,84,30,69,44
1,1,1,1,26,70,57,7,89,0,0	26,70,57,7,89	26,70,57,7,89
1,1,75,29,33,10,89,0,0,0,0	75,29,33,10,89	75,29,33,10,89
1,1,1,1,28,68,61,4,64,0,0,0,0	28,68,61,4,64	28,68,61,4,64
1,83,89,91,55,52,0,0,0	83,89,91,55,52	83,89,91,55,52
1,1,1,11,30,71,21,75,0,0,0,0	11,30,71,21,75	11,30,71,21,75
1,1,1,1,68,87,42,53,27,0,0	68,87,42,53,27	68,87,42,53,27
1,1,44,91,70,94,64,0,0,0,0	44,91,70,94,64	44,91,70,94,64
1,1,1,1,28,80,80,13,66,0,0,0,0	28,80,80,13,66	28,80,80,13,66
1,1,1,1,69,40,46,51,59,0	69,40,46,51,59	69,40,46,51,59
1,25,91,53,57,75,0,0,0,0	25,91,53,57,75	25,91,53,57,75
