38,4,73,58,24,60,45,90,57,90,8,23	54,58,24,60,45,90,36,11,14	58,24,60,45,90
38,4,73,94,32,58,61,81,57,90,8,23	54,94,32,58,61,81,36,11,14	94,32,58,61,81
38,4,73,80,95,85,22,74,57,90,8,23	54,80,95,85,22,74,36,11,14	80,95,85,22,74
38,4,73,64,57,28,44,66,57,90,8,23	54,64,57,28,44,66,36,11,14	64,57,28,44,66
38,4,73,63,97,98,80,59,57,90,8,23	54,63,97,98,80,59,36,11,14	63,97,98,80,59
38,4,73,48,5,19,28,86,57,90,8,23	54,48,5,19,28,86,36,11,14	48,5,19,28,86
38,4,73,54,88,9,87,43,57,90,8,23	54,54,88,9,87,43,36,11,14	54,88,9,87,43
38,4,73,71,28,14,6,39,57,90,8,23	54,71,28,14,6,39,36,11,14	71,28,14,6,39
38,4,73,41,99,40,11,31,57,90,8,23	54,41,99,40,11,31,36,11,14	41,99,40,11,31
38,4,73,12,72,24,49,22,57,90,8,23	54,12,72,24,49,22,36,11,14	12,72,24,49,22
38,4,73,79,75,21,58,59,57,90,8,23	54,79,75,21,58,59,36,11,14	79,75,21,58,59
38,4,73,42,29,53,94,8,57,90,8,23	54,42,29,53,94,8,36,11,14	42,29,53,94,8
38,4,73,54,66,87,47,52,57,90,8,23	54,54,66,87,47,52,36,11,14	54,66,87,47,52
38,4,73,59,53,42,23,69,57,90,8,23	54,59,53,42,23,69,36,11,14	59,53,42,23,69
38,4,73,80,89,66,62,21,57,90,8,23	54,80,89,66,62,21,36,11,14	80,89,66,62,21
38,4,73,70,63,68,79,53,57,90,8,23	54,70,63,68,79,53,36,11,14	70,63,68,79,53
38,4,73,28,93,77,50,12,57,90,8,23	54,28,93,77,50,12,36,11,14	28,93,77,50,12
38,4,73,36,48,98,41,78,57,90,8,23	54,36,48,98,41,78,36,11,14	36,48,98,41,78
38,4,73,64,23,8,47,85,57,90,8,23	54,64,23,8,47,85,36,11,14	64,23,8,47,85
38,4,73,98,84,27,50,59,57,90,8,23	54,98,84,27,50,59,36,11,14	98,84,27,50,59
38,4,73,35,43,23,52,82,57,90,8,23	54,35,43,23,52,82,36,11,14	35,43,23,52,82
38,4,73,83,15,66,30,74,57,90,8,23	54,83,15,66,30,74,36,11,14	83,15,66,30,74
38,4,73,68,83,29,69,57,57,90,8,23	54,68,83,29,69,57,36,11,14	68,83,29,69,57
38,4,73,16,58,5,61,64,57,90,8,23	54,16,58,5,61,64,36,11,14	16,58,5,61,64
38,4,73,68,24,36,15,20,57,90,8,23	54,68,24,36,15,20,36,11,14	68,24,36,15,20
38,4,73,40,18,10,39,80,57,90,8,23	54,40,18,10,39,80,36,11,14	40,18,10,39,80
38,4,73,87,24,66,19,29,57,90,8,23	54,87,24,66,19,29,36,11,14	87,24,66,19,29
38,4,73,60,40,72,17,90,57,90,8,23	54,60,40,72,17,90,36,11,14	60,40,72,17,90
38,4,73,97,14,87,98,96,57,90,8,23	54,97,14,87,98,96,36,11,14	97,14,87,98,96
38,4,73,88,38,49,34,97,57,90,8,23	54,88,38,49,34,97,36,11,14	88,38,49,34,97
38,4,73,94,24,34,33,27,57,90,8,23	54,94,24,34,33,27,36,11,14	94,24,34,33,27
38,4,73,7,65,64,71,35,57,90,8,23	54,7,65,64,71,35,36,11,14	7,65,64,71,35
38,4,73,9,72,78,13,85,57,90,8,23	54,9,72,78,13,85,36,11,14	9,72,78,13,85
38,4,73,43,44,46,69,48,57,90,8,23	54,43,44,46,69,48,36,11,14	43,44,46,69,48
38,4,73,41,17,28,57,87,57,90,8,23	54,41,17,28,57,87,36,11,14	41,17,28,57,87
38,4,73,9,45,15,61,13,57,90,8,23	54,9,45,15,61,13,36,11,14	9,45,15,61,13
38,4,73,93,9,67,69,77,57,90,8,23	54,93,9,67,69,77,36,11,14	93,9,67,69,77
38,4,73,93,76,38,79,51,57,90,8,23	54,93,76,38,79,51,36,11,14	93,76,38,79,51
38,4,73,68,22,78,55,18,57,90,8,23	54,68,22,78,55,18,36,11,14	68,22,78,55,18
38,4,73,83,44,29,81,56,57,90,8,23	54,83,44,29,81,56,36,11,14	83,44,29,81,56
38,4,73,32,61,30,96,25,57,90,8,23	54,32,61,30,96,25,36,11,14	32,61,30,96,25
38,4,73,47,12,60,39,84,57,90,8,23	54,47,12,60,39,84,36,11,14	47,12,60,39,84
38,4,73,96,37,46,13,9,57,90,8,23	54,96,37,46,13,9,36,11,14	96,37,46,13,9
38,4,73,59,78,11,95,80,57,90,8,23	54,59,78,11,95,80,36,11,14	59,78,11,95,80
38,4,73,82,4,36,62,85,57,90,8,23	54,82,4,36,62,85,36,11,14	82,4,36,62,85
38,4,73,35,30,52,31,52,57,90,8,23	54,35,30,52,31,52,36,11,14	35,30,52,31,52
38,4,73,36,62,81,33,12,57,90,8,23	54,36,62,81,33,12,36,11,14	36,62,81,33,12
38,4,73,30,78,54,48,5,57,90,8,23	54,30,78,54,48,5,36,11,14	30,78,54,48,5
38,4,73,70,9,61,97,37,57,90,8,23	54,70,9,61,97,37,36,11,14	70,9,61,97,37
38,4,73,54,18,25,29,51,57,90,8,23	54,54,18,25,29,51,36,11,14	54,18,25,29,51
38,4,73,9,70,84,8,10,57,90,8,23	54,9,70,84,8,10,36,11,14	9,70,84,8,10
38,4,73,28,86,58,20,36,57,90,8,23	54,28,86,58,20,36,36,11,14	28,86,58,20,36
38,4,73,24,79,69,36,68,57,90,8,23	54,24,79,69,36,68,36,11,14	24,79,69,36,68
38,4,73,41,20,65,40,22,57,90,8,23	54,41,20,65,40,22,36,11,14	41,20,65,40,22
38,4,73,34,45,73,69,20,57,90,8,23	54,34,45,73,69,20,36,11,14	34,45,73,69,20
38,4,73,20,9,69,46,19,57,90,8,23	54,20,9,69,46,19,36,11,14	20,9,69,46,19
38,4,73,97,47,6,59,54,57,90,8,23	54,97,47,6,59,54,36,11,14	97,47,6,59,54
38,4,73,87,14,20,9,62,57,90,8,23	54,87,14,20,9,62,36,11,14	87,14,20,9,62
38,4,73,52,30,83,93,74,57,90,8,23	54,52,30,83,93,74,36,11,14	52,30,83,93,74
38,4,73,26,91,95,56,59,57,90,8,23	54,26,91,95,56,59,36,11,14	26,91,95,56,59
38,4,73,74,17,4,49,81,57,90,8,23	54,74,17,4,49,81,36,11,14	74,17,4,49,81
38,4,73,85,6,52,88,9,57,90,8,23	54,85,6,52,88,9,36,11,14	85,6,52,88,9
38,4,73,46,79,56,99,96,57,90,8,23	54,46,79,56,99,96,36,11,14	46,79,56,99,96
38,4,73,65,14,99,24,39,57,90,8,23	54,65,14,99,24,39,36,11,14	65,14,99,24,39
38,4,73,47,4,75,23,35,57,90,8,23	54,47,4,75,23,35,36,11,14	47,4,75,23,35
38,4,73,81,53,80,66,66,57,90,8,23	54,81,53,80,66,66,36,11,14	81,53,80,66,66
38,4,73,38,33,11,40,73,57,90,8,23	54,38,33,11,40,73,36,11,14	38,33,11,40,73
38,4,73,29,12,47,11,43,57,90,8,23	54,29,12,47,11,43,36,11,14	29,12,47,11,43
38,4,73,17,34,88,83,93,57,90,8,23	54,17,34,88,83,93,36,11,14	17,34,88,83,93
38,4,73,83,89,57,15,50,57,90,8,23	54,83,89,57,15,50,36,11,14	83,89,57,15,50
38,4,73,49,38,62,74,29,57,90,8,23	54,49,38,62,74,29,36,11,14	49,38,62,74,29
38,4,73,85,59,52,60,70,57,90,8,23	54,85,59,52,60,70,36,11,14	85,59,52,60,70
38,4,73,9,57,58,55,32,57,90,8,23	54,9,57,58,55,32,36,11,14	9,57,58,55,32
38,4,73,9,5,40,40,60,57,90,8,23	54,9,5,40,40,60,36,11,14	9,5,40,40,60
38,4,73,29,82,81,37,73,57,90,8,23	54,29,82,81,37,73,36,11,14	29,82,81,37,73
38,4,73,95,9,56,90,65,57,90,8,23	54,95,9,56,90,65,36,11,14	95,9,56,90,65
38,4,73,16,5,32,86,43,57,90,8,23	54,16,5,32,86,43,36,11,14	16,5,32,86,43
38,4,73,74,83,11,46,49,57,90,8,23	54,74,83,11,46,49,36,11,14	74,83,11,46,49
38,4,73,98,17,97,85,12,57,90,8,23	54,98,17,97,85,12,36,11,14	98,17,97,85,12
38,4,73,14,61,17,88,60,57,90,8,23	54,14,61,17,88,60,36,11,14	14,61,17,88,60
38,4,73,30,42,68,99,5,57,90,8,23	54,30,42,68,99,5,36,11,14	30,42,68,99,5
38,4,73,98,91,66,72,94,57,90,8,23	54,98,91,66,72,94,36,11,14	98,91,66,72,94
38,4,73,79,10,7,51,96,57,90,8,23	54,79,10,7,51,96,36,11,14	79,10,7,51,96
38,4,73,35,92,98,73,85,57,90,8,23	54,35,92,98,73,85,36,11,14	35,92,98,73,85
38,4,73,71,35,89,71,79,57,90,8,23	54,71,35,89,71,79,36,11,14	71,35,89,71,79
38,4,73,22,55,93,19,16,57,90,8,23	54,22,55,93,19,16,36,11,14	22,55,93,19,16
38,4,73,88,32,42,80,49,57,90,8,23	54,88,32,42,80,49,36,11,14	88,32,42,80,49
38,4,73,15,52,47,49,91,57,90,8,23	54,15,52,47,49,91,36,11,14	15,52,47,49,91
38,4,73,15,7,62,12,99,57,90,8,23	54,15,7,62,12,99,36,11,14	15,7,62,12,99
38,4,73,72,50,69,40,58,57,90,8,23	54,72,50,69,40,58,36,11,14	72,50,69,40,58
38,4,73,37,69,31,34,98,57,90,8,23	54,37,69,31,34,98,36,11,14	37,69,31,34,98
38,4,73,56,82,87,47,10,57,90,8,23	54,56,82,87,47,10,36,11,14	56,82,87,47,10
38,4,73,92,51,90,59,87,57,90,8,23	54,92,51,90,59,87,36,11,14	92,51,90,59,87
38,4,73,6,66,70,14,96,57,90,8,23	54,6,66,70,14,96,36,11,14	6,66,70,14,96
38,4,73,89,54,86,24,45,57,90,8,23	54,89,54,86,24,45,36,11,14	89,54,86,24,45
38,4,73,81,93,78,78,99,57,90,8,23	54,81,93,78,78,99,36,11,14	81,93,78,78,99
38,4,73,35,86,25,34,31,57,90,8,23	54,35,86,25,34,31,36,11,14	35,86,25,34,31
38,4,73,24,22,78,36,42,57,90,8,23	54,24,22,78,36,42,36,11,14	24,22,78,36,42
38,4,73,67,24,61,84,59,57,90,8,23	54,67,24,61,84,59,36,11,14	67,24,61,84,59
38,4,73,50,29,88,22,76,57,90,8,23	54,50,29,88,22,76,36,11,14	50,29,88,22,76
38,4,73,42,88,88,77,78,57,90,8,23	54,42,88,88,77,78,36,11,14	42,88,88,77,78
38,4,73,16,13,96,24,82,57,90,8,23	54,16,13,96,24,82,36,11,14	16,13,96,24,82
38,4,73,82,61,52,55,17,57,90,8,23	54,82,61,52,55,17,36,11,14	82,61,52,55,17
38,4,73,35,83,70,41,18,57,90,8,23	54,35,83,70,41,18,36,11,14	35,83,70,41,18
38,4,73,24,64,22,32,72,57,90,8,23	54,24,64,22,32,72,36,11,14	24,64,22,32,72
38,4,73,46,50,78,77,46,57,90,8,23	54,46,50,78,77,46,36,11,14	46,50,78,77,46
38,4,73,51,82,20,72,97,57,90,8,23	54,51,82,20,72,97,36,11,14	51,82,20,72,97
38,4,73,59,79,92,95,10,57,90,8,23	54,59,79,92,95,10,36,11,14	59,79,92,95,10
38,4,73,87,18,73,95,39,57,90,8,23	54,87,18,73,95,39,36,11,14	87,18,73,95,39
38,4,73,49,77,40,60,93,57,90,8,23	54,49,77,40,60,93,36,11,14	49,77,40,60,93
38,4,73,76,26,50,71,64,57,90,8,23	54,76,26,50,71,64,36,11,14	76,26,50,71,64
38,4,73,72,27,99,32,63,57,90,8,23	54,72,27,99,32,63,36,11,14	72,27,99,32,63
38,4,73,42,76,15,5,69,57,90,8,23	54,42,76,15,5,69,36,11,14	42,76,15,5,69
38,4,73,29,12,22,46,96,57,90,8,23	54,29,12,22,46,96,36,11,14	29,12,22,46,96
38,4,73,18,50,42,66,4,57,90,8,23	54,18,50,42,66,4,36,11,14	18,50,42,66,4
38,4,73,40,27,83,78,58,57,90,8,23	54,40,27,83,78,58,36,11,14	40,27,83,78,58
38,4,73,91,98,46,25,80,57,90,8,23	54,91,98,46,25,80,36,11,14	91,98,46,25,80
38,4,73,20,71,87,50,92,57,90,8,23	54,20,71,87,50,92,36,11,14	20,71,87,50,92
38,4,73,39,54,81,58,41,57,90,8,23	54,39,54,81,58,41,36,11,14	39,54,81,58,41
38,4,73,84,14,66,75,79,57,90,8,23	54,84,14,66,75,79,36,11,14	84,14,66,75,79
38,4,73,70,80,31,17,46,57,90,8,23	54,70,80,31,17,46,36,11,14	70,80,31,17,46
38,4,73,79,73,15,90,91,57,90,8,23	54,79,73,15,90,91,36,11,14	79,73,15,90,91
38,4,73,88,63,16,53,55,57,90,8,23	54,88,63,16,53,55,36,11,14	88,63,16,53,55
38,4,73,10,15,74,15,35,57,90,8,23	54,10,15,74,15,35,36,11,14	10,15,74,15,35
38,4,73,14,52,48,58,93,57,90,8,23	54,14,52,48,58,93,36,11,14	14,52,48,58,93
38,4,73,17,36,51,25,27,57,90,8,23	54,17,36,51,25,27,36,11,14	17,36,51,25,27
38,4,73,21,37,95,5,83,57,90,8,23	54,21,37,95,5,83,36,11,14	21,37,95,5,83
38,4,73,75,80,52,64,95,57,90,8,23	54,75,80,52,64,95,36,11,14	75,80,52,64,95
38,4,73,92,7,13,72,18,57,90,8,23	54,92,7,13,72,18,36,11,14	92,7,13,72,18
38,4,73,38,38,90,43,94,57,90,8,23	54,38,38,90,43,94,36,11,14	38,38,90,43,94
38,4,73,81,84,45,77,69,57,90,8,23	54,81,84,45,77,69,36,11,14	81,84,45,77,69
38,4,73,29,29,56,21,77,57,90,8,23	54,29,29,56,21,77,36,11,14	29,29,56,21,77
38,4,73,51,31,11,16,7,57,90,8,23	54,51,31,11,16,7,36,11,14	51,31,11,16,7
38,4,73,63,74,49,86,63,57,90,8,23	54,63,74,49,86,63,36,11,14	63,74,49,86,63
38,4,73,26,55,6,61,70,57,90,8,23	54,26,55,6,61,70,36,11,14	26,55,6,61,70
38,4,73,90,76,98,99,86,57,90,8,23	54,90,76,98,99,86,36,11,14	90,76,98,99,86
38,4,73,7,46,65,48,5,57,90,8,23	54,7,46,65,48,5,36,11,14	7,46,65,48,5
38,4,73,72,76,75,19,22,57,90,8,23	54,72,76,75,19,22,36,11,14	72,76,75,19,22
38,4,73,74,78,28,74,39,57,90,8,23	54,74,78,28,74,39,36,11,14	74,78,28,74,39
38,4,73,9,11,88,90,93,57,90,8,23	54,9,11,88,90,93,36,11,14	9,11,88,90,93
38,4,73,57,53,13,33,28,57,90,8,23	54,57,53,13,33,28,36,11,14	57,53,13,33,28
38,4,73,10,51,28,13,63,57,90,8,23	54,10,51,28,13,63,36,11,14	10,51,28,13,63
38,4,73,33,70,30,53,55,57,90,8,23	54,33,70,30,53,55,36,11,14	33,70,30,53,55
38,4,73,98,12,43,40,93,57,90,8,23	54,98,12,43,40,93,36,11,14	98,12,43,40,93
38,4,73,43,82,8,56,83,57,90,8,23	54,43,82,8,56,83,36,11,14	43,82,8,56,83
38,4,73,12,74,15,29,71,57,90,8,23	54,12,74,15,29,71,36,11,14	12,74,15,29,71
38,4,73,14,51,9,47,15,57,90,8,23	54,14,51,9,47,15,36,11,14	14,51,9,47,15
38,4,73,91,66,13,25,87,57,90,8,23	54,91,66,13,25,87,36,11,14	91,66,13,25,87
38,4,73,41,47,27,77,99,57,90,8,23	54,41,47,27,77,99,36,11,14	41,47,27,77,99
38,4,73,76,18,34,33,42,57,90,8,23	54,76,18,34,33,42,36,11,14	76,18,34,33,42
38,4,73,57,59,49,89,26,57,90,8,23	54,57,59,49,89,26,36,11,14	57,59,49,89,26
